Title,Pay scale,Annual Rate,Hourly Rate
PRESIDENT,1,240716,115.73
VICE PRESIDENT,1,184171,88.54
"FULL PROFESSOR
(FORMERLY PROFESSOR)",1,140068,67.34
"FULL PROFESSOR
(FORMERLY PROFESSOR)",2,148055,71.18
"FULL PROFESSOR
(FORMERLY PROFESSOR)",3,156042,75.02
"FULL PROFESSOR
(FORMERLY PROFESSOR)",4,164028,78.86
"FULL PROFESSOR
(FORMERLY PROFESSOR)",5,172016,82.7
"FULL PROFESSOR
(FORMERLY PROFESSOR)",6,177078,85.13
"PROFESSOR
(FORMERLY ASSOCIATE
PROFESSOR)",1,101447,48.77
"PROFESSOR
(FORMERLY ASSOCIATE
PROFESSOR)",2,108276,52.06
"PROFESSOR
(FORMERLY ASSOCIATE
PROFESSOR)",3,115107,55.34
"PROFESSOR
(FORMERLY ASSOCIATE
PROFESSOR)",4,121935,58.62
"PROFESSOR
(FORMERLY ASSOCIATE
PROFESSOR)",5,128770,61.91
"PROFESSOR
(FORMERLY ASSOCIATE
PROFESSOR)",6,135598,65.19
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",1,87548,42.09
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",2,91018,43.76
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",3,94492,45.43
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",4,97988,47.11
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",5,101461,48.78
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",6,104948,50.46
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",7,108430,52.13
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",8,111916,53.81
"ASSOCIATE PROFESSOR A
(FORMERLY SENIOR LECTURER)",9,115395,55.48
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",1,62069,29.84
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",2,73093,35.14
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",3,77006,37.02
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",4,79703,38.32
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",5,83634,40.21
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",6,87604,42.12
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",7,91563,44.02
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",8,95514,45.92
"ASSOCIATE PROFESSOR B
(FORMERLY LECTURER)",9,99471,47.82
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",1,46955,22.57
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",2,49543,23.82
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",3,51676,24.84
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",4,53644,25.79
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",5,55689,26.77
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",6,57323,27.56
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",7,58990,28.36
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",8,60654,29.16
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",9,62314,29.96
"ASSISTANT PROFESSOR
(FORMERLY LECTURER BELOW
THE BAR)",10,63965,30.75
TEACHING ASSISTANT,1,37010,17.79
TEACHING ASSISTANT,2,40061,19.26
SENIOR ADMINISTRATIVE OFFICER II,1,94941,45.64
SENIOR ADMINISTRATIVE OFFICER II,2,98703,47.45
SENIOR ADMINISTRATIVE OFFICER II,3,102487,49.27
SENIOR ADMINISTRATIVE OFFICER II,4,106270,51.09
SENIOR ADMINISTRATIVE OFFICER II,5,110030,52.9
SENIOR ADMINISTRATIVE OFFICER II,6,113810,54.72
SENIOR ADMINISTRATIVE OFFICER II,7,117589,56.53
SENIOR ADMINISTRATIVE OFFICER II,8,121368,58.35
SENIOR ADMINISTRATIVE OFFICER II,9,125140,60.16
SENIOR ADMINISTRATIVE OFFICER III,1,106800,51.35
SENIOR ADMINISTRATIVE OFFICER III,2,113990,54.8
SENIOR ADMINISTRATIVE OFFICER III,3,121181,58.26
SENIOR ADMINISTRATIVE OFFICER III,4,128369,61.72
SENIOR ADMINISTRATIVE OFFICER III,5,135565,65.18
SENIOR ADMINISTRATIVE OFFICER III,6,142758,68.63
SENIOR EXECUTIVE ADMINISTRATOR,1,58657,28.2
SENIOR EXECUTIVE ADMINISTRATOR,2,60174,28.93
SENIOR EXECUTIVE ADMINISTRATOR,3,61704,29.67
SENIOR EXECUTIVE ADMINISTRATOR,4,63240,30.4
